0, 0, 2, 1.0, 1.0
1, 1.0, 2, 1.5, 0.5
2, 1.0, 1.5, 1.25, 0.25
3, 1.25, 1.5, 1.375, 0.125
4, 1.375, 1.5, 1.4375, 0.0625
5, 1.375, 1.4375, 1.40625, 0.03125
6, 1.40625, 1.4375, 1.421875, 0.015625
7, 1.40625, 1.421875, 1.4140625, 0.0078125
8, 1.4140625, 1.421875, 1.41796875, 0.00390625
9, 1.4140625, 1.41796875, 1.416015625, 0.001953125
10, 1.4140625, 1.416015625, 1.4150390625, 0.0009765625
11, 1.4140625, 1.4150390625, 1.41455078125, 0.00048828125
12, 1.4140625, 1.41455078125, 1.414306640625, 0.000244140625
13, 1.4140625, 1.414306640625, 1.4141845703125, 0.0001220703125
14, 1.4141845703125, 1.414306640625, 1.41424560546875, 6.103515625e-05
